,id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minDHW,minTHW,minTTC,min_xVelocity,max_xVelocity,mean_xVelocity,min_yVelocity,max_yVelocity,mean_yVelocity,min_xAcceleration,max_xAcceleration,mean_xAcceleration,min_yAcceleration,max_yAcceleration,mean_yAcceleration,min_frontSightDistance,max_frontSightDistance,min_backSightDistance,max_backSightDistance,min_precedingXVelocity,max_precedingXVelocity,mean_laneId,numLaneChanges
11,12,4.75,2.02,1,176,176,1,2,288.71,25.6,0.62,14.0,40.14,41.81,41.29,-0.24,0.11,-0.06,-0.33,0.53,0.14,-0.07,0.11,0.02,-2.58,284.74,126.88,414.08,0.0,40.98,6.0,0
12,13,4.14,1.82,1,176,176,1,2,224.73,78.04,2.42,13.95,31.63,32.31,32.14,-0.09,0.09,0.03,-0.11,0.36,0.1,-0.02,0.05,0.02,-1.36,222.53,189.08,412.93,0.0,29.11,7.0,0
13,14,4.55,1.92,1,178,178,1,2,219.87,72.21,2.3,22.82,30.13,31.91,31.08,-0.05,0.21,0.07,0.18,0.32,0.25,-0.1,0.09,0.0,-1.31,217.68,193.93,412.94,0.0,28.86,8.0,0
14,15,4.14,1.92,1,179,179,1,1,228.44,124.99,3.83,109.42,-33.23,-30.85,-32.1,-0.12,0.08,-0.02,0.11,0.43,0.33,-0.08,0.05,0.0,-1.97,225.62,186.0,413.49,-32.55,0.0,3.0,0
15,16,17.08,2.5,1,227,227,0,1,213.32,81.57,3.45,232.39,-23.85,-23.33,-23.61,-0.06,0.18,0.01,-0.13,0.16,0.03,-0.07,0.03,-0.01,-8.84,205.96,205.66,420.46,-23.74,0.0,2.0,0
16,17,5.15,2.22,1,234,234,1,1,302.6,63.88,2.01,65.6,-34.28,-30.91,-32.48,-0.27,0.14,-0.01,0.23,0.48,0.36,-0.17,0.18,0.01,-1.92,299.69,111.92,413.49,-33.23,0.0,3.0,0
17,18,4.45,1.82,1,262,262,1,2,329.95,99.86,3.34,412.03,29.15,33.74,31.62,-0.1,0.14,0.04,0.3,0.54,0.44,-0.11,0.08,-0.02,-2.02,326.68,84.94,413.63,0.0,32.31,7.0,0
18,19,4.14,1.92,1,274,274,1,1,336.34,30.19,0.95,-1.0,-31.75,-29.97,-30.82,-0.07,0.21,0.02,0.05,0.26,0.16,-0.04,0.11,0.02,-1.11,334.51,77.11,412.68,-34.28,0.0,3.0,0
19,20,19.3,2.5,1,292,292,0,1,275.08,38.99,1.65,53.21,-24.59,-22.41,-23.64,-0.12,0.17,0.02,0.06,0.28,0.19,-0.1,0.06,0.01,-9.32,266.55,145.07,420.81,-23.85,0.0,2.0,0
20,21,8.39,2.02,1,331,331,1,2,332.5,103.87,4.42,-1.0,23.49,26.95,25.2,-0.11,0.06,0.0,0.15,0.41,0.26,-0.06,0.07,-0.0,-4.04,327.94,83.68,415.68,0.0,31.91,8.0,0
21,22,5.15,1.92,2,46,45,1,2,55.71,11.97,0.38,-1.0,31.53,32.1,31.81,0.03,0.17,0.09,0.26,0.34,0.32,-0.06,-0.01,-0.05,-2.68,51.64,359.98,414.3,0.0,32.41,6.0,0
22,23,5.15,2.12,2,76,75,1,1,94.48,-1.0,-1.0,-1.0,-32.55,-31.19,-31.98,-0.19,-0.01,-0.14,0.27,0.6,0.46,-0.08,-0.0,-0.04,-2.02,91.86,319.75,413.59,0.0,0.0,3.0,0
23,24,4.24,1.82,2,157,156,1,2,247.44,108.7,2.74,27.83,39.65,40.98,39.95,-0.1,0.14,0.04,-0.1,0.62,0.19,-0.05,0.11,0.01,-1.36,244.72,166.9,412.85,0.0,36.73,6.0,0
24,25,4.65,1.82,2,257,256,1,2,402.4,110.63,3.04,-1.0,36.36,41.81,39.47,-0.09,0.04,-0.02,0.25,0.7,0.53,-0.03,0.04,0.01,-2.22,398.83,12.78,413.82,0.0,41.81,6.0,0
25,26,10.31,2.5,2,374,373,0,1,361.14,66.15,2.8,56.87,-25.28,-23.25,-24.28,-0.19,0.18,0.04,0.05,0.23,0.14,-0.12,0.12,0.01,-5.09,357.25,54.37,416.27,-24.59,0.0,2.0,0
26,27,3.94,1.92,3,308,306,1,2,378.62,47.26,1.64,-1.0,28.73,34.1,31.05,-0.14,0.12,0.01,0.04,0.59,0.44,-0.1,0.11,-0.01,-1.36,376.25,35.37,412.96,0.0,33.74,7.0,0
27,28,3.74,1.82,8,310,303,1,1,410.18,253.61,6.81,467.11,-37.35,-31.2,-33.97,-0.08,0.22,-0.0,0.34,0.74,0.51,-0.03,0.12,0.02,-0.79,408.54,3.08,412.27,-36.8,0.0,4.0,0
28,29,4.14,1.82,12,329,318,1,1,409.23,63.25,2.05,27.74,-34.32,-30.42,-32.28,-0.05,0.09,0.02,0.03,0.46,0.31,-0.05,0.04,-0.0,-1.07,407.63,3.99,412.38,-31.65,0.0,3.0,0
29,30,4.95,1.92,15,332,318,1,2,411.82,26.78,0.81,14.35,31.46,34.14,32.5,-0.1,0.08,-0.02,0.08,0.51,0.21,-0.05,0.07,-0.0,-2.02,408.54,3.08,413.59,0.0,34.1,7.0,0
30,31,5.15,1.92,24,279,256,1,2,400.57,33.47,0.87,29.29,38.1,42.36,39.3,-0.06,0.15,0.02,0.01,1.14,0.42,-0.1,0.07,-0.0,5.2,406.21,5.41,406.4,0.0,41.81,6.0,0
31,32,3.89,1.72,65,375,311,1,2,410.85,57.0,1.64,93.05,30.86,36.19,33.15,-0.1,0.14,0.03,0.0,0.87,0.43,-0.1,0.1,-0.0,-1.67,407.98,3.63,413.23,0.0,34.14,7.0,0
32,33,3.84,1.92,68,365,298,1,1,408.72,66.93,2.07,35.97,-38.23,-31.68,-34.42,-0.18,0.15,0.0,0.28,0.86,0.55,-0.06,0.09,0.03,-0.91,407.33,4.24,412.22,-36.0,0.0,4.0,0
33,34,5.36,1.92,79,336,258,1,2,412.14,80.98,1.98,204.41,36.63,44.0,40.12,-0.17,0.18,0.04,0.35,0.85,0.72,-0.2,0.08,-0.03,-2.27,408.38,3.22,413.79,0.0,42.36,6.0,0
34,35,4.85,1.92,79,395,317,1,1,409.85,75.97,2.43,66.04,-34.65,-30.23,-32.44,-0.07,0.24,0.03,0.14,0.47,0.35,-0.04,0.08,0.02,-1.53,407.77,3.79,412.73,-33.66,0.0,3.0,0
35,36,17.28,2.5,79,497,419,0,2,411.51,134.29,5.84,-1.0,22.97,26.81,24.63,-0.12,0.12,-0.01,-0.05,0.32,0.23,-0.05,0.06,0.01,-10.16,401.11,10.51,421.77,0.0,26.95,8.0,0
36,37,7.07,2.5,97,402,306,0,2,406.67,29.82,0.91,109.34,30.78,35.67,33.35,-0.14,0.18,0.02,0.31,0.59,0.4,-0.08,0.13,-0.0,-2.88,404.59,7.01,414.44,0.0,36.19,7.0,0
37,38,4.24,1.92,120,388,269,1,2,411.05,55.56,1.53,-1.0,36.15,40.65,38.37,-0.63,0.15,-0.14,0.2,0.71,0.42,-0.08,0.16,0.06,-1.31,408.48,3.07,412.8,0.0,44.0,6.0,0
38,39,4.55,2.02,142,429,288,1,1,403.23,47.52,1.41,14.4,-37.92,-33.19,-35.14,-0.17,0.33,-0.01,0.23,0.64,0.41,-0.05,0.14,0.04,4.23,407.82,3.54,407.07,-33.84,0.0,3.0,0
39,40,8.69,2.5,148,567,420,0,1,407.06,171.37,6.95,113.2,-26.11,-22.84,-24.3,-0.21,0.22,0.01,0.02,0.31,0.19,-0.15,0.11,0.01,-3.99,403.9,7.33,415.61,-24.58,0.0,2.0,0
40,41,9.2,2.5,158,576,419,0,2,409.47,62.64,2.77,-1.0,22.55,26.5,24.5,-0.08,0.2,-0.0,0.1,0.3,0.24,-0.06,0.09,0.01,-5.66,404.29,7.34,417.28,0.0,26.81,8.0,0
41,42,4.35,1.82,160,432,273,1,2,410.93,51.18,1.3,11.8,34.54,40.73,37.79,-0.76,0.06,-0.31,0.44,0.64,0.57,-0.25,0.19,-0.02,-1.72,407.88,3.69,413.24,0.0,40.65,6.72,1
42,43,4.95,2.12,168,428,261,1,1,409.11,89.31,2.35,14.06,-41.33,-37.14,-39.35,-0.2,0.26,0.02,-0.01,0.56,0.4,-0.09,0.18,0.04,-1.67,406.47,4.85,413.03,-35.36,0.0,4.0,0
43,44,4.75,1.92,186,471,286,1,2,403.99,32.25,0.96,170.94,33.48,39.01,35.47,-0.09,0.18,0.02,0.08,1.19,0.49,-0.08,0.08,0.01,4.3,408.59,3.01,407.32,0.0,39.2,7.0,0
44,45,8.44,2.5,194,624,431,0,2,407.28,23.02,0.94,99.31,23.0,24.75,23.69,-0.07,0.12,0.01,-0.41,0.46,0.1,-0.04,0.05,-0.0,-4.45,404.34,7.28,416.06,0.0,26.5,8.0,0
45,46,4.35,1.82,195,454,260,1,2,404.37,38.55,0.95,330.57,37.61,41.29,39.08,-0.28,0.26,-0.0,-0.04,0.62,0.36,-0.27,0.13,-0.04,3.59,408.33,3.23,408.03,0.0,40.73,6.0,0
46,47,4.35,1.92,196,489,294,1,1,410.17,42.41,1.14,63.48,-37.16,-32.77,-35.01,-0.9,0.24,-0.32,0.12,0.46,0.37,-0.22,0.24,0.03,-1.62,407.5,3.99,413.23,-41.26,0.0,3.33,1
47,48,5.66,2.43,205,539,335,1,1,408.34,19.49,0.61,-1.0,-33.04,-28.51,-30.57,-0.02,0.09,0.03,0.09,0.48,0.34,-0.04,0.04,0.0,-2.83,404.43,7.02,414.45,-36.48,0.0,3.0,0
48,49,4.55,1.92,225,484,260,1,2,408.64,37.01,0.92,76.26,38.18,41.28,39.48,-0.06,0.08,-0.01,-0.11,0.44,0.3,-0.06,0.06,-0.0,-1.62,405.65,5.96,413.23,0.0,41.29,6.0,0
49,50,3.74,1.82,227,556,330,1,1,409.02,17.3,0.58,13.43,-33.63,-29.4,-31.08,-0.1,0.23,-0.01,0.1,0.77,0.32,-0.05,0.11,0.02,-1.16,407.17,4.45,412.78,-32.88,0.0,3.0,0
50,51,5.15,2.02,245,524,280,1,1,410.1,65.41,1.76,49.36,-37.19,-35.45,-36.76,-0.17,0.12,0.03,-0.27,0.49,0.13,-0.08,0.1,0.02,-2.22,406.87,4.75,413.84,-39.41,0.0,4.0,0
51,52,17.18,2.5,265,688,424,0,1,406.71,93.38,3.95,98.32,-26.05,-22.28,-24.05,-0.17,0.17,0.01,0.17,0.29,0.22,-0.14,0.07,0.0,-8.19,399.93,11.62,419.8,-25.07,0.0,2.0,0
52,53,4.45,2.02,267,551,285,1,1,408.96,27.88,0.76,-1.0,-36.67,-34.9,-36.02,-0.18,0.09,0.0,0.02,0.3,0.16,-0.04,0.09,0.01,-0.86,407.03,4.55,412.48,-37.19,0.0,4.0,0
53,54,4.45,1.92,268,536,269,1,2,409.87,62.5,1.63,28.41,37.31,38.49,38.26,0.0,0.92,0.28,-0.57,0.19,-0.08,-0.28,0.15,-0.06,-1.41,407.37,4.23,413.03,0.0,39.1,6.8,1
54,55,4.24,2.02,271,599,329,1,1,408.18,45.84,1.5,38.43,-33.26,-29.0,-31.13,-0.2,0.14,0.0,0.2,0.4,0.32,-0.1,0.11,-0.0,-1.21,405.91,5.66,412.83,-32.69,0.0,3.0,0
55,56,4.65,1.82,274,560,287,1,2,412.09,14.54,0.42,26.19,33.57,39.15,36.05,-0.18,0.38,0.03,0.25,0.66,0.49,-0.23,0.2,0.01,-2.12,408.54,3.07,413.74,0.0,38.49,7.0,0
56,57,4.45,1.82,293,594,302,1,1,403.5,33.03,0.89,44.67,-37.34,-31.43,-33.52,-0.34,0.15,-0.02,0.16,1.0,0.49,-0.14,0.14,-0.02,3.18,406.98,4.55,408.43,-36.6,0.0,4.0,0
57,58,4.65,2.02,296,623,328,1,1,410.23,23.97,0.8,35.18,-33.36,-29.4,-31.38,-0.11,0.11,0.02,0.08,0.42,0.3,-0.07,0.06,0.0,-1.47,407.92,3.59,413.08,-33.05,0.0,3.0,0
58,59,8.99,2.73,347,713,367,1,2,410.4,22.79,0.81,22.75,26.12,30.08,28.04,-0.04,0.66,0.25,0.19,0.35,0.27,-0.16,0.19,0.02,-3.84,405.71,5.86,415.46,0.0,38.49,7.28,1
59,60,3.74,1.82,359,659,301,1,2,410.77,133.52,3.84,-1.0,31.61,36.5,34.25,-0.73,1.05,0.25,0.24,0.6,0.41,-0.31,0.33,0.04,-1.97,407.47,4.04,413.59,0.0,41.28,6.41,1
60,61,4.04,1.82,360,644,285,1,1,407.71,56.88,1.67,12.55,-37.71,-32.9,-35.91,-0.01,0.79,0.29,0.08,0.73,0.42,-0.19,0.13,-0.05,-1.16,405.2,6.01,412.78,-33.56,0.0,3.83,1
61,62,20.82,2.5,367,798,432,0,2,410.42,44.5,1.85,-1.0,22.06,25.82,23.81,-0.09,0.27,0.05,0.17,0.28,0.22,-0.04,0.06,0.02,-11.17,399.84,11.79,422.78,0.0,30.08,8.0,0
62,63,4.14,1.72,404,822,419,1,2,410.59,21.06,0.83,24.85,23.38,25.83,24.57,-0.11,0.17,0.01,0.04,0.27,0.15,-0.1,0.1,-0.01,-1.36,408.23,3.4,412.98,0.0,25.82,8.0,0
63,64,4.14,1.92,422,745,324,1,1,409.61,142.69,4.59,59.35,-34.2,-29.5,-31.71,-0.1,0.09,-0.01,0.12,0.52,0.36,-0.07,0.06,-0.01,-1.62,406.96,4.3,413.23,-31.85,0.0,3.0,0
64,65,4.85,1.92,433,708,276,1,1,410.3,86.04,2.39,28.65,-40.11,-34.96,-37.32,-0.09,0.09,0.02,0.34,0.69,0.47,-0.06,0.08,-0.01,-1.31,407.77,3.59,412.93,-37.39,0.0,4.0,0
65,66,5.26,2.12,456,769,314,1,1,409.17,24.42,0.79,18.81,-35.4,-30.69,-32.69,-0.1,0.06,-0.01,0.07,0.65,0.38,-0.04,0.03,-0.01,-1.72,406.51,5.1,413.34,-33.92,0.0,3.0,0
66,67,4.75,1.92,463,718,256,1,2,408.62,47.27,1.18,4.19,39.58,40.89,40.09,-0.16,0.59,0.09,-0.07,0.37,0.13,-0.26,0.05,-0.05,-1.67,405.71,5.91,413.28,0.0,36.5,7.0,0
67,68,5.56,2.22,493,769,277,1,1,408.8,80.82,2.24,53.45,-37.9,-34.94,-37.05,-0.06,0.1,0.0,-0.09,0.6,0.26,-0.03,0.08,0.01,-1.72,406.11,5.51,413.34,-38.91,0.0,4.0,0
68,69,4.65,2.02,498,811,314,1,2,410.76,52.56,1.72,-1.0,30.5,35.62,32.82,-0.32,0.22,-0.01,0.31,0.55,0.41,-0.12,0.12,0.01,-1.77,407.83,3.79,413.39,0.0,40.89,7.0,0
69,70,4.14,1.72,519,839,321,1,2,409.91,21.24,0.71,-1.0,29.95,34.66,32.04,-0.2,0.18,-0.05,0.26,0.52,0.37,-0.06,0.14,0.01,-1.01,407.93,3.69,412.63,0.0,35.62,7.0,0
70,71,4.35,1.92,529,872,344,1,1,409.51,98.32,3.05,-1.0,-32.2,-28.26,-29.86,-0.15,0.26,0.03,0.12,0.47,0.29,-0.09,0.13,-0.01,-1.16,407.47,4.14,412.73,-34.21,0.0,3.0,0
71,72,5.15,2.12,551,869,319,1,2,411.14,33.81,1.04,633.77,29.4,34.98,32.35,-0.17,0.26,0.01,0.27,0.9,0.44,-0.16,0.09,-0.0,-2.22,407.88,3.74,413.83,0.0,34.66,7.0,0
72,73,4.24,1.82,576,896,321,1,1,409.4,23.65,0.78,11.63,-34.45,-29.45,-32.0,-0.24,0.26,-0.03,0.18,0.62,0.39,-0.16,0.21,0.0,-1.92,406.82,4.8,413.54,-31.43,0.0,3.0,0
73,74,17.28,2.5,580,1006,427,0,1,405.33,278.83,11.24,111.72,-25.51,-21.85,-23.79,-0.14,0.17,-0.0,-0.01,0.31,0.21,-0.09,0.04,-0.01,-8.99,398.18,13.44,420.61,-23.12,0.0,2.0,0
74,75,4.55,1.92,581,897,317,1,2,409.0,28.9,0.95,-1.0,30.13,34.18,32.37,-0.09,0.12,0.03,0.14,0.48,0.32,-0.04,0.1,-0.01,-1.57,406.16,5.46,413.18,0.0,34.98,7.0,0
75,76,4.14,1.92,601,886,286,1,2,411.24,-1.0,-1.0,-1.0,34.03,38.86,36.1,-0.12,0.13,-0.03,0.11,0.67,0.42,-0.08,0.1,0.0,-1.26,408.64,2.98,412.88,0.0,0.0,6.0,0
76,77,17.28,2.5,619,1025,407,0,2,408.92,187.49,7.74,-1.0,23.3,27.28,25.19,-0.17,0.02,-0.03,0.2,0.3,0.24,-0.03,0.05,0.01,-9.5,400.8,10.81,421.12,0.0,25.83,8.0,0
77,78,4.95,2.02,627,943,317,1,2,411.64,52.92,1.71,72.52,29.55,36.18,32.58,-0.01,0.13,0.05,0.41,0.65,0.52,-0.05,0.05,0.0,-2.48,407.93,3.69,414.09,0.0,34.18,7.0,0
78,79,4.24,1.82,641,958,318,1,1,408.75,71.08,2.31,45.73,-34.81,-30.12,-32.25,-0.08,0.03,-0.01,0.24,0.46,0.37,-0.04,0.05,0.0,-1.92,406.01,5.61,413.54,-33.07,0.0,3.0,0
79,80,4.65,1.82,649,1058,410,1,2,409.26,24.12,1.03,-1.0,23.32,27.12,25.03,-0.08,0.1,0.0,0.1,0.37,0.23,-0.09,0.05,0.0,-1.47,407.07,4.55,413.08,0.0,27.28,8.0,0
80,81,4.04,1.92,662,984,323,1,1,409.69,26.21,0.77,368.12,-34.02,-29.92,-31.82,-0.18,0.19,0.03,0.13,0.51,0.32,-0.11,0.09,0.01,-1.52,407.37,4.24,413.13,-34.52,0.0,3.0,0
81,82,17.28,2.5,676,1104,429,0,1,406.49,70.89,3.1,73.05,-25.62,-21.99,-23.75,-0.08,0.16,0.01,0.16,0.27,0.21,-0.03,0.06,0.01,-8.81,399.54,12.08,420.36,-24.81,0.0,2.0,0
82,83,4.65,1.92,692,1019,328,1,2,411.45,74.01,2.42,-1.0,30.57,33.42,31.47,-0.98,0.16,-0.11,-0.01,0.48,0.22,-0.13,0.37,0.05,-1.82,408.54,3.08,413.44,0.0,36.18,7.0,0
83,84,4.35,1.82,695,1024,330,1,1,409.11,39.17,1.18,113.35,-33.21,-28.84,-31.1,-0.11,0.27,0.02,-0.02,0.57,0.33,-0.09,0.14,0.01,-1.72,406.36,5.26,413.34,-33.74,0.0,3.0,0
84,85,4.14,1.72,712,1005,294,1,1,409.43,320.66,8.63,181.14,-37.61,-32.77,-34.95,-0.17,0.9,0.15,0.2,0.55,0.41,-0.26,0.13,-0.05,-1.16,407.37,4.24,412.78,-35.94,0.0,4.0,0
85,86,5.66,1.92,717,1047,331,1,2,408.43,22.07,0.76,-1.0,28.89,33.05,30.94,-0.09,0.1,0.01,0.07,0.83,0.31,-0.04,0.06,0.01,-2.07,405.35,6.27,413.69,0.0,33.42,7.0,0
86,87,4.24,1.82,734,1068,335,1,2,411.1,17.85,0.6,53.28,29.77,32.46,30.79,-0.07,0.15,0.02,0.06,0.45,0.2,-0.09,0.1,0.01,-1.77,408.38,3.23,413.39,0.0,33.05,7.0,0
87,88,4.85,2.02,750,1058,309,1,1,411.11,37.75,1.19,13.12,-34.59,-31.31,-33.38,-0.12,0.12,0.01,-0.08,0.42,0.25,-0.07,0.11,0.0,-2.17,407.88,3.74,413.79,-33.02,0.0,3.0,0
88,89,4.55,1.82,755,1084,330,1,2,409.5,14.83,0.47,19.49,30.49,32.03,31.13,-0.08,0.22,0.08,-0.04,0.37,0.12,-0.07,0.08,0.01,-1.36,407.22,4.4,412.98,0.0,32.46,7.0,0
89,90,3.03,1.82,766,1077,312,1,1,407.53,15.38,0.47,-1.0,-35.58,-30.94,-32.75,-1.27,0.3,-0.28,-0.42,1.08,0.35,-0.45,0.52,0.02,-0.45,406.26,5.36,412.07,-36.68,0.0,3.37,1
90,91,5.66,2.12,784,1109,326,1,2,403.03,30.78,1.0,13.99,30.29,34.42,31.02,-0.04,1.32,0.31,-0.1,1.16,0.29,-0.48,0.51,-0.01,4.5,407.78,3.84,407.12,0.0,31.07,7.78,1
91,92,8.29,2.5,789,1186,398,0,1,407.39,71.38,2.9,27.87,-27.6,-23.86,-25.67,-0.13,0.07,-0.01,0.18,0.29,0.24,-0.06,0.05,0.01,-3.89,405.3,6.32,415.51,-24.54,0.0,2.0,0
92,93,4.95,2.12,807,1105,299,1,1,409.45,30.97,0.96,11.49,-36.79,-32.01,-34.37,-1.09,0.27,-0.21,-0.28,0.97,0.37,-0.11,0.4,0.09,-1.67,407.07,4.55,413.23,-35.39,0.0,3.07,1
93,94,12.43,2.5,828,1234,407,0,1,405.77,28.35,1.05,-1.0,-27.01,-23.58,-25.0,-0.06,0.07,0.01,-0.06,0.34,0.21,-0.04,0.06,0.01,-6.62,401.31,10.31,418.24,-27.3,0.0,2.0,0
94,95,4.35,1.92,830,1118,289,1,1,403.89,20.47,0.58,6.38,-35.32,-35.02,-35.08,-1.11,1.01,-0.21,-0.23,0.04,-0.02,-0.44,0.42,0.08,3.69,408.23,3.39,407.83,-34.66,0.0,3.52,1
95,96,4.45,1.82,830,1178,349,1,2,411.41,54.8,1.95,51.95,27.94,32.32,29.57,-0.06,0.12,-0.0,0.06,0.52,0.31,-0.06,0.08,-0.0,-2.07,408.38,3.23,413.69,0.0,34.42,8.0,0
96,97,4.75,1.92,837,1125,289,1,2,403.45,58.23,1.67,14.29,32.81,36.18,35.04,-0.24,0.31,0.03,-0.62,0.54,0.2,-0.1,0.09,0.03,4.09,407.88,3.74,407.51,0.0,32.03,7.0,0
97,98,4.45,1.92,853,1195,343,1,1,409.5,46.03,1.49,-1.0,-31.61,-26.91,-29.95,-0.18,0.21,-0.0,0.03,0.63,0.34,-0.11,0.15,0.01,-1.27,407.62,3.94,412.83,-36.79,0.0,3.0,0
98,99,5.05,2.12,865,1134,270,1,2,410.37,372.32,10.28,-1.0,35.96,40.26,38.16,-0.11,0.08,-0.04,-0.02,0.77,0.4,-0.05,0.03,-0.01,-2.37,406.77,4.85,413.96,0.0,38.86,6.0,0
99,100,4.85,1.92,871,1191,321,1,1,410.59,52.56,1.58,-1.0,-33.16,-30.67,-32.09,-0.14,0.06,-0.02,0.06,0.3,0.19,-0.09,0.05,-0.01,-1.66,407.94,3.64,413.23,-35.14,0.0,4.0,0
100,101,6.47,2.32,897,1241,345,1,1,410.14,44.1,1.54,27.39,-30.9,-27.49,-29.81,-0.02,0.15,0.03,-0.04,0.58,0.25,-0.05,0.08,0.01,-3.03,406.41,5.2,414.65,-31.52,0.0,3.0,0
101,102,4.75,1.92,907,1190,284,1,2,411.83,86.78,2.28,30.72,31.95,38.5,36.41,-0.21,0.15,-0.07,0.12,1.36,0.58,-0.11,0.05,-0.02,-2.17,408.28,3.33,413.78,0.0,36.18,7.0,0
102,103,5.15,2.22,920,1266,347,1,1,408.91,20.63,0.67,19.42,-31.42,-28.63,-29.55,-0.21,0.19,-0.03,-0.03,0.5,0.2,-0.14,0.11,0.02,-1.77,406.06,5.51,413.39,-30.88,0.0,3.0,0
103,104,4.75,2.02,934,1249,316,1,1,403.03,72.1,2.22,45.73,-34.54,-29.93,-32.0,-0.2,0.34,-0.0,0.21,0.5,0.37,-0.11,0.16,0.02,4.45,407.78,3.84,407.17,-32.84,0.0,4.0,0
104,105,4.24,1.82,944,1290,347,1,1,403.81,24.17,0.82,24.0,-32.38,-27.91,-29.19,-0.09,0.3,0.02,-0.2,0.82,0.29,-0.04,0.09,0.03,3.54,407.68,3.94,408.08,-31.27,0.0,3.0,0
105,106,5.26,2.02,969,1268,300,1,2,411.49,150.45,4.56,-1.0,33.0,36.67,34.42,-0.1,0.12,0.02,0.06,0.49,0.31,-0.08,0.06,-0.02,-1.62,408.54,3.08,413.23,0.0,40.26,6.0,0
106,107,4.85,1.92,976,1294,319,1,1,411.07,37.76,1.2,16.2,-36.65,-28.91,-32.33,-0.06,0.16,0.0,0.07,0.89,0.61,-0.02,0.08,0.01,-2.32,407.68,3.94,413.94,-33.87,0.0,4.0,0
107,108,17.28,2.5,994,1427,434,0,1,406.61,155.99,6.19,1005.53,-25.28,-21.61,-23.49,-0.11,0.26,0.0,0.12,0.31,0.21,-0.07,0.1,0.02,-8.94,399.84,11.77,420.46,-25.22,0.0,2.0,0
108,109,10.26,2.5,995,1385,391,0,2,395.05,26.1,1.05,-1.0,23.65,27.44,25.34,-0.15,1.02,0.27,0.1,0.32,0.24,-0.36,0.28,-0.01,7.83,405.0,6.62,403.79,0.0,38.13,7.27,1
109,110,17.18,2.5,1001,1450,450,0,2,407.69,18.55,0.8,-1.0,21.06,24.57,22.71,-0.14,0.19,0.01,0.1,0.27,0.2,-0.15,0.06,-0.01,-9.1,400.2,11.42,420.71,0.0,32.32,8.0,0
